unitid,institution name,year,Level and degree/certificate-seeking status of student,Grand total,American Indian or Alaska Native total,Asian total,Black or African American total,Hispanic or Latino total,Native Hawaiian or Other Pacific Islander total,White total,Two or more races total,Race/ethnicity unknown total,U.S. Nonresident total,IDX_E12
147767,Northwestern University,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",2031,3,436,169,302,5,676,165,70,205,-2
147767,Northwestern University,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",6782,7,1392,417,946,4,2559,457,231,769,-2
147767,Northwestern University,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",77,0,2,1,0,0,14,2,57,1,-2
147767,Northwestern University,2023,"Full-time students, Graduate",12316,13,1438,615,962,4,4090,385,762,4047,-2
147767,Northwestern University,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",226,0,58,4,10,0,90,16,18,30,-2
147767,Northwestern University,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",6556,7,1334,413,936,4,2469,441,213,739,-2
147767,Northwestern University,2023,Part-time students total,5787,11,1102,334,446,5,2649,158,664,418,-2
147767,Northwestern University,2023,"Part-time students, Undergraduate total",1320,7,271,94,113,3,518,47,215,52,-2
147767,Northwestern University,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",752,0,109,77,89,2,328,32,89,26,-2
147767,Northwestern University,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",752,0,109,77,89,2,328,32,89,26,-2
147767,Northwestern University,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",568,7,162,17,24,1,190,15,126,26,-2
147767,Northwestern University,2023,"Part-time students, Graduate",4467,4,831,240,333,2,2131,111,449,366,-2
147767,Northwestern University,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",752,0,109,77,89,2,328,32,89,26,-2
151351,Indiana University-Bloomington,2023,All students total,61491,45,4977,3167,5123,15,39047,2791,544,5782,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate total",48857,34,4145,2650,4414,11,32729,2441,377,2056,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Degree/certificate-seeking total",36552,15,3329,1690,3080,9,24525,1882,172,1850,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",9817,4,1044,426,791,1,6463,499,49,540,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Other degree/certificate-seeking",26735,11,2285,1264,2289,8,18062,1383,123,1310,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Non-degree/certificate-seeking",12305,19,816,960,1334,2,8204,559,205,206,-2
151351,Indiana University-Bloomington,2023,"All students, Graduate",12634,11,832,517,709,4,6318,350,167,3726,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",907,1,34,65,83,2,612,50,2,58,-2
151351,Indiana University-Bloomington,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",25828,10,2251,1199,2206,6,17450,1333,121,1252,-2
151351,Indiana University-Bloomington,2023,Full-time students total,43143,19,3776,1813,3368,8,27434,2025,246,4454,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate total",35380,12,3254,1513,2924,6,23803,1802,167,1899,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",35128,12,3248,1497,2910,6,23711,1795,166,1783,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",9788,4,1040,424,788,1,6446,497,49,539,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",25340,8,2208,1073,2122,5,17265,1298,117,1244,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",252,0,6,16,14,0,92,7,1,116,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Graduate",7763,7,522,300,444,2,3631,223,79,2555,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",888,1,31,64,82,2,598,50,2,58,-2
151351,Indiana University-Bloomington,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",24452,7,2177,1009,2040,3,16667,1248,115,1186,-2
151351,Indiana University-Bloomington,2023,Part-time students total,18348,26,1201,1354,1755,7,11613,766,298,1328,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate total",13477,22,891,1137,1490,5,8926,639,210,157,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",1424,3,81,193,170,3,814,87,6,67,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, First-time",29,0,4,2,3,0,17,2,0,1,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",1395,3,77,191,167,3,797,85,6,66,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",12053,19,810,944,1320,2,8112,552,204,90,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Graduate",4871,4,310,217,265,2,2687,127,88,1171,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",19,0,3,1,1,0,14,0,0,0,-2
151351,Indiana University-Bloomington,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",1376,3,74,190,166,3,783,85,6,66,-2
153658,University of Iowa,2023,All students total,32773,44,1688,1054,2662,22,23473,1130,1033,1667,-2
153658,University of Iowa,2023,"All students, Undergraduate total",23688,32,1159,754,2084,16,17521,887,747,488,-2
153658,University of Iowa,2023,"All students, Undergraduate, Degree/certificate-seeking total",22547,30,1072,716,2006,15,16747,857,665,439,-2
153658,University of Iowa,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",5220,7,222,122,498,4,3952,219,137,59,-2
153658,University of Iowa,2023,"All students, Undergraduate, Other degree/certificate-seeking",17327,23,850,594,1508,11,12795,638,528,380,-2
153658,University of Iowa,2023,"All students, Undergraduate, Non-degree/certificate-seeking",1141,2,87,38,78,1,774,30,82,49,-2
153658,University of Iowa,2023,"All students, Graduate",9085,12,529,300,578,6,5952,243,286,1179,-2
153658,University of Iowa,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1370,1,41,67,120,0,1038,49,31,23,-2
153658,University of Iowa,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",15957,22,809,527,1388,11,11757,589,497,357,-2
153658,University of Iowa,2023,Full-time students total,25932,37,1325,775,2222,17,18683,943,770,1160,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate total",20699,28,972,606,1861,15,15410,788,617,402,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",20547,26,970,605,1852,15,15305,784,605,385,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",5186,7,219,122,493,4,3928,218,136,59,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",15361,19,751,483,1359,11,11377,566,469,326,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",152,2,2,1,9,0,105,4,12,17,-2
153658,University of Iowa,2023,"Full-time students, Graduate",5233,9,353,169,361,2,3273,155,153,758,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1193,0,33,54,110,0,900,45,28,23,-2
153658,University of Iowa,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",14168,19,718,429,1249,11,10477,521,441,303,-2
153658,University of Iowa,2023,Part-time students total,6841,7,363,279,440,5,4790,187,263,507,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate total",2989,4,187,148,223,1,2111,99,130,86,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",2000,4,102,111,154,0,1442,73,60,54,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, First-time",34,0,3,0,5,0,24,1,1,0,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",1966,4,99,111,149,0,1418,72,59,54,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",989,0,85,37,69,1,669,26,70,32,-2
153658,University of Iowa,2023,"Part-time students, Graduate",3852,3,176,131,217,4,2679,88,133,421,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",177,1,8,13,10,0,138,4,3,0,-2
153658,University of Iowa,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",1789,3,91,98,139,0,1280,68,56,54,-2
170976,University of Michigan-Ann Arbor,2023,All students total,53422,86,8069,2315,4053,30,24858,2287,2271,9453,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate total",33921,43,6021,1398,2795,19,17170,1699,1626,3150,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Degree/certificate-seeking total",33439,41,5994,1393,2784,18,17063,1691,1604,2851,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",7169,8,1430,348,857,7,3473,393,339,314,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Other degree/certificate-seeking",26270,33,4564,1045,1927,11,13590,1298,1265,2537,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Non-degree/certificate-seeking",482,2,27,5,11,1,107,8,22,299,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Graduate",19501,43,2048,917,1258,11,7688,588,645,6303,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1734,1,231,64,108,1,657,65,37,570,-2
170976,University of Michigan-Ann Arbor,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",24536,32,4333,981,1819,10,12933,1233,1228,1967,-2
170976,University of Michigan-Ann Arbor,2023,Full-time students total,48759,77,7412,2113,3798,24,22567,2135,2018,8615,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate total",32300,40,5719,1333,2706,18,16273,1624,1500,3087,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",31952,40,5716,1333,2702,18,16240,1624,1490,2789,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",7143,8,1426,345,856,7,3459,391,338,313,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",24809,32,4290,988,1846,11,12781,1233,1152,2476,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",348,0,3,0,4,0,33,0,10,298,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Graduate",16459,37,1693,780,1092,6,6294,511,518,5528,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1661,1,224,57,101,1,608,63,36,570,-2
170976,University of Michigan-Ann Arbor,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",23148,31,4066,931,1745,10,12173,1170,1116,1906,-2
170976,University of Michigan-Ann Arbor,2023,Part-time students total,4663,9,657,202,255,6,2291,152,253,838,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate total",1621,3,302,65,89,1,897,75,126,63,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",1487,1,278,60,82,0,823,67,114,62,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, First-time",26,0,4,3,1,0,14,2,1,1,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",1461,1,274,57,81,0,809,65,113,61,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",134,2,24,5,7,1,74,8,12,1,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Graduate",3042,6,355,137,166,5,1394,77,127,775,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",73,0,7,7,7,0,49,2,1,0,-2
170976,University of Michigan-Ann Arbor,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",1388,1,267,50,74,0,760,63,112,61,-2
171100,Michigan State University,2023,All students total,54390,146,4056,3666,3329,30,34986,2096,1118,4963,-2
171100,Michigan State University,2023,"All students, Undergraduate total",41943,99,3228,2916,2533,26,27926,1721,889,2605,-2
171100,Michigan State University,2023,"All students, Undergraduate, Degree/certificate-seeking total",41538,98,3188,2911,2518,26,27813,1715,877,2392,-2
171100,Michigan State University,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",10213,31,849,607,627,4,6710,513,145,727,-2
171100,Michigan State University,2023,"All students, Undergraduate, Other degree/certificate-seeking",31325,67,2339,2304,1891,22,21103,1202,732,1665,-2
171100,Michigan State University,2023,"All students, Undergraduate, Non-degree/certificate-seeking",405,1,40,5,15,0,113,6,12,213,-2
171100,Michigan State University,2023,"All students, Graduate",12447,47,828,750,796,4,7060,375,229,2358,-2
171100,Michigan State University,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1690,7,103,125,118,3,1208,70,27,29,-2
171100,Michigan State University,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",29635,60,2236,2179,1773,19,19895,1132,705,1636,-2
171100,Michigan State University,2023,Full-time students total,46037,111,3453,2956,2786,27,29440,1803,956,4505,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate total",37224,89,2840,2511,2249,24,24761,1527,805,2418,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",37014,89,2837,2510,2248,24,24758,1527,805,2216,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",10006,30,836,589,614,4,6572,500,143,718,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",27008,59,2001,1921,1634,20,18186,1027,662,1498,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",210,0,3,1,1,0,3,0,0,202,-2
171100,Michigan State University,2023,"Full-time students, Graduate",8813,22,613,445,537,3,4679,276,151,2087,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",1549,5,95,112,108,3,1114,61,23,28,-2
171100,Michigan State University,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",25459,54,1906,1809,1526,17,17072,966,639,1470,-2
171100,Michigan State University,2023,Part-time students total,8353,35,603,710,543,3,5546,293,162,458,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate total",4719,10,388,405,284,2,3165,194,84,187,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",4524,9,351,401,270,2,3055,188,72,176,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, First-time",207,1,13,18,13,0,138,13,2,9,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",4317,8,338,383,257,2,2917,175,70,167,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",195,1,37,4,14,0,110,6,12,11,-2
171100,Michigan State University,2023,"Part-time students, Graduate",3634,25,215,305,259,1,2381,99,78,271,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",141,2,8,13,10,0,94,9,4,1,-2
171100,Michigan State University,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",4176,6,330,370,247,2,2823,166,66,166,-2
174066,University of Minnesota-Twin Cities,2023,All students total,59150,230,6193,4118,3300,38,33930,2424,3251,5666,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate total",42178,149,4900,3353,2531,28,25117,1904,2037,2159,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Degree/certificate-seeking total",31983,102,3948,2627,1835,18,19449,1521,550,1933,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",6775,27,949,573,485,6,3988,311,81,355,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Other degree/certificate-seeking",25208,75,2999,2054,1350,12,15461,1210,469,1578,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Non-degree/certificate-seeking",10195,47,952,726,696,10,5668,383,1487,226,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Graduate",16972,81,1293,765,769,10,8813,520,1214,3507,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",2265,13,230,306,156,0,1218,148,26,168,-2
174066,University of Minnesota-Twin Cities,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",22943,62,2769,1748,1194,12,14243,1062,443,1410,-2
174066,University of Minnesota-Twin Cities,2023,Full-time students total,39596,129,4548,2820,2145,21,22872,1724,1518,3819,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate total",29976,90,3748,2388,1717,17,17990,1420,610,1996,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",29154,87,3662,2341,1690,16,17687,1399,473,1799,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",6742,27,943,568,483,6,3973,308,81,353,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",22412,60,2719,1773,1207,10,13714,1091,392,1446,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",822,3,86,47,27,1,303,21,137,197,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Graduate",9620,39,800,432,428,4,4882,304,908,1823,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",2113,12,215,280,144,0,1134,139,21,168,-2
174066,University of Minnesota-Twin Cities,2023,"Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing",20299,48,2504,1493,1063,10,12580,952,371,1278,-2
174066,University of Minnesota-Twin Cities,2023,Part-time students total,19554,101,1645,1298,1155,17,11058,700,1733,1847,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate total",12202,59,1152,965,814,11,7127,484,1427,163,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Degree/certificate-seeking total",2829,15,286,286,145,2,1762,122,77,134,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, First-time",33,0,6,5,2,0,15,3,0,2,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",2796,15,280,281,143,2,1747,119,77,132,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Non-degree/certificate-seeking",9373,44,866,679,669,9,5365,362,1350,29,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Graduate",7352,42,493,333,341,6,3931,216,306,1684,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",152,1,15,26,12,0,84,9,5,0,-2
174066,University of Minnesota-Twin Cities,2023,"Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing",2644,14,265,255,131,2,1663,110,72,132,-2
204796,Ohio State University-Main Campus,2023,All students total,65551,41,5544,5110,3676,26,39834,2744,2216,6360,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate total",49382,28,4517,4035,2674,24,30928,2204,1517,3455,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Degree/certificate-seeking total",47806,26,4280,3866,2607,22,30087,2127,1441,3350,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Degree/certificate-seeking, First-time",8158,1,951,499,439,2,4727,351,253,935,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Other degree/certificate-seeking",39648,25,3329,3367,2168,20,25360,1776,1188,2415,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Non-degree/certificate-seeking",1576,2,237,169,67,2,841,77,76,105,-2
204796,Ohio State University-Main Campus,2023,"All students, Graduate",16169,13,1027,1075,1002,2,8906,540,699,2905,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins",4325,3,279,490,270,1,2744,216,136,186,-2
204796,Ohio State University-Main Campus,2023,"All students, Undergraduate, Other degree/certificate-seeking, Continuing",35323,22,3050,2877,1898,19,22616,1560,1052,2229,-2
204796,Ohio State University-Main Campus,2023,Full-time students total,54175,28,4766,4108,3073,21,32993,2353,1684,5149,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Undergraduate total",43738,20,3993,3407,2372,20,27436,1964,1318,3208,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Undergraduate, Degree/certificate-seeking total",43540,20,3961,3387,2364,20,27360,1956,1310,3162,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, First-time",8122,1,947,497,436,2,4710,350,253,926,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking",35418,19,3014,2890,1928,18,22650,1606,1057,2236,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Undergraduate, Non-degree/certificate-seeking",198,0,32,20,8,0,76,8,8,46,-2
204796,Ohio State University-Main Campus,2023,"Full-time students, Graduate",10437,8,773,701,701,1,5557,389,366,1941,-2
